,fips_code,county,state,c3_data_id
2,51001.0,Accomack,Virginia,Accomack_Virginia_UnitedStates
4,19001.0,Adair,Iowa,Adair_Iowa_UnitedStates
5,21001.0,Adair,Kentucky,Adair_Kentucky_UnitedStates
6,29001.0,Adair,Missouri,Adair_Missouri_UnitedStates
7,40001.0,Adair,Oklahoma,Adair_Oklahoma_UnitedStates
9,16003.0,Adams,Idaho,Adams_Idaho_UnitedStates
10,17001.0,Adams,Illinois,Adams_Illinois_UnitedStates
12,19003.0,Adams,Iowa,Adams_Iowa_UnitedStates
13,28001.0,Adams,Mississippi,Adams_Mississippi_UnitedStates
15,38001.0,Adams,NorthDakota,Adams_NorthDakota_UnitedStates
16,39001.0,Adams,Ohio,Adams_Ohio_UnitedStates
19,55001.0,Adams,Wisconsin,Adams_Wisconsin_UnitedStates
20,50001.0,Addison,Vermont,Addison_Vermont_UnitedStates
22,27001.0,Aitkin,Minnesota,Aitkin_Minnesota_UnitedStates
26,8003.0,Alamosa,Colorado,Alamosa_Colorado_UnitedStates
30,26001.0,Alcona,Michigan,Alcona_Michigan_UnitedStates
31,28003.0,Alcorn,Mississippi,Alcorn_Mississippi_UnitedStates
32,2013.0,AleutiansEast,Alaska,AleutiansEast_Alaska_UnitedStates
33,2016.0,AleutiansWest,Alaska,AleutiansWest_Alaska_UnitedStates
34,17003.0,Alexander,Illinois,Alexander_Illinois_UnitedStates
37,40003.0,Alfalfa,Oklahoma,Alfalfa_Oklahoma_UnitedStates
38,26003.0,Alger,Michigan,Alger_Michigan_UnitedStates
39,19005.0,Allamakee,Iowa,Allamakee_Iowa_UnitedStates
42,36003.0,Allegany,NewYork,Allegany_NewYork_UnitedStates
43,37005.0,Alleghany,NorthCarolina,Alleghany_NorthCarolina_UnitedStates
44,51005.0,Alleghany,Virginia,Alleghany_Virginia_UnitedStates
47,20001.0,Allen,Kansas,Allen_Kansas_UnitedStates
49,22003.0,Allen,Louisiana,Allen_Louisiana_UnitedStates
51,45005.0,Allendale,SouthCarolina,Allendale_SouthCarolina_UnitedStates
52,26007.0,Alpena,Michigan,Alpena_Michigan_UnitedStates
53,6003.0,Alpine,California,Alpine_California_UnitedStates
54,6005.0,Amador,California,Amador_California_UnitedStates
59,20003.0,Anderson,Kansas,Anderson_Kansas_UnitedStates
63,48001.0,Anderson,Texas,Anderson_Texas_UnitedStates
67,48005.0,Angelina,Texas,Angelina_Texas_UnitedStates
70,37007.0,Anson,NorthCarolina,Anson_NorthCarolina_UnitedStates
71,31003.0,Antelope,Nebraska,Antelope_Nebraska_UnitedStates
72,26009.0,Antrim,Michigan,Antrim_Michigan_UnitedStates
73,4001.0,Apache,Arizona,Apache_Arizona_UnitedStates
74,19007.0,Appanoose,Iowa,Appanoose_Iowa_UnitedStates
75,13001.0,Appling,Georgia,Appling_Georgia_UnitedStates
80,8007.0,Archuleta,Colorado,Archuleta_Colorado_UnitedStates
81,26011.0,Arenac,Michigan,Arenac_Michigan_UnitedStates
82,5001.0,Arkansas,Arkansas,Arkansas_Arkansas_UnitedStates
85,48011.0,Armstrong,Texas,Armstrong_Texas_UnitedStates
86,23003.0,Aroostook,Maine,Aroostook_Maine_UnitedStates
87,31005.0,Arthur,Nebraska,Arthur_Nebraska_UnitedStates
89,37009.0,Ashe,NorthCarolina,Ashe_NorthCarolina_UnitedStates
91,55003.0,Ashland,Wisconsin,Ashland_Wisconsin_UnitedStates
92,5003.0,Ashley,Arkansas,Ashley_Arkansas_UnitedStates
95,22007.0,Assumption,Louisiana,Assumption_Louisiana_UnitedStates
98,29005.0,Atchison,Missouri,Atchison_Missouri_UnitedStates
100,13003.0,Atkinson,Georgia,Atkinson_Georgia_UnitedStates
102,40005.0,Atoka,Oklahoma,Atoka_Oklahoma_UnitedStates
103,28007.0,Attala,Mississippi,Attala_Mississippi_UnitedStates
105,19009.0,Audubon,Iowa,Audubon_Iowa_UnitedStates
108,46003.0,Aurora,SouthDakota,Aurora_SouthDakota_UnitedStates
111,37011.0,Avery,NorthCarolina,Avery_NorthCarolina_UnitedStates
112,22009.0,Avoyelles,Louisiana,Avoyelles_Louisiana_UnitedStates
113,8009.0,Baca,Colorado,Baca_Colorado_UnitedStates
114,13005.0,Bacon,Georgia,Bacon_Georgia_UnitedStates
115,48017.0,Bailey,Texas,Bailey_Texas_UnitedStates
117,13007.0,Baker,Georgia,Baker_Georgia_UnitedStates
118,41001.0,Baker,Oregon,Baker_Oregon_UnitedStates
121,21007.0,Ballard,Kentucky,Ballard_Kentucky_UnitedStates
124,45009.0,Bamberg,SouthCarolina,Bamberg_SouthCarolina_UnitedStates
126,13011.0,Banks,Georgia,Banks_Georgia_UnitedStates
127,31007.0,Banner,Nebraska,Banner_Nebraska_UnitedStates
129,26013.0,Baraga,Michigan,Baraga_Michigan_UnitedStates
130,20007.0,Barber,Kansas,Barber_Kansas_UnitedStates
131,1005.0,Barbour,Alabama,Barbour_Alabama_UnitedStates
132,54001.0,Barbour,WestVirginia,Barbour_WestVirginia_UnitedStates
133,38003.0,Barnes,NorthDakota,Barnes_NorthDakota_UnitedStates
135,45011.0,Barnwell,SouthCarolina,Barnwell_SouthCarolina_UnitedStates
137,55005.0,Barron,Wisconsin,Barron_Wisconsin_UnitedStates
140,29009.0,Barry,Missouri,Barry_Missouri_UnitedStates
142,20009.0,Barton,Kansas,Barton_Kansas_UnitedStates
143,29011.0,Barton,Missouri,Barton_Missouri_UnitedStates
148,51017.0,Bath,Virginia,Bath_Virginia_UnitedStates
149,5005.0,Baxter,Arkansas,Baxter_Arkansas_UnitedStates
152,55007.0,Bayfield,Wisconsin,Bayfield_Wisconsin_UnitedStates
153,48023.0,Baylor,Texas,Baylor_Texas_UnitedStates
154,46005.0,Beadle,SouthDakota,Beadle_SouthDakota_UnitedStates
155,16007.0,BearLake,Idaho,BearLake_Idaho_UnitedStates
160,40007.0,Beaver,Oklahoma,Beaver_Oklahoma_UnitedStates
162,49001.0,Beaver,Utah,Beaver_Utah_UnitedStates
163,30001.0,Beaverhead,Montana,Beaverhead_Montana_UnitedStates
164,27005.0,Becker,Minnesota,Becker_Minnesota_UnitedStates
165,40009.0,Beckham,Oklahoma,Beckham_Oklahoma_UnitedStates
166,42009.0,Bedford,Pennsylvania,Bedford_Pennsylvania_UnitedStates
171,21013.0,Bell,Kentucky,Bell_Kentucky_UnitedStates
174,27007.0,Beltrami,Minnesota,Beltrami_Minnesota_UnitedStates
175,13017.0,BenHill,Georgia,BenHill_Georgia_UnitedStates
176,16009.0,Benewah,Idaho,Benewah_Idaho_UnitedStates
177,46007.0,Bennett,SouthDakota,Bennett_SouthDakota_UnitedStates
179,38005.0,Benson,NorthDakota,Benson_NorthDakota_UnitedStates
180,8011.0,Bent,Colorado,Bent_Colorado_UnitedStates
186,29015.0,Benton,Missouri,Benton_Missouri_UnitedStates
188,47005.0,Benton,Tennessee,Benton_Tennessee_UnitedStates
190,26019.0,Benzie,Michigan,Benzie_Michigan_UnitedStates
197,13019.0,Berrien,Georgia,Berrien_Georgia_UnitedStates
199,37015.0,Bertie,NorthCarolina,Bertie_NorthCarolina_UnitedStates
200,2050.0,Bethel,Alaska,Bethel_Alaska_UnitedStates
204,22013.0,Bienville,Louisiana,Bienville_Louisiana_UnitedStates
205,30003.0,BigHorn,Montana,BigHorn_Montana_UnitedStates
206,56003.0,BigHorn,Wyoming,BigHorn_Wyoming_UnitedStates
207,27011.0,BigStone,Minnesota,BigStone_Minnesota_UnitedStates
208,38007.0,Billings,NorthDakota,Billings_NorthDakota_UnitedStates
211,18009.0,Blackford,Indiana,Blackford_Indiana_UnitedStates
212,37017.0,Bladen,NorthCarolina,Bladen_NorthCarolina_UnitedStates
213,16013.0,Blaine,Idaho,Blaine_Idaho_UnitedStates
214,30005.0,Blaine,Montana,Blaine_Montana_UnitedStates
215,31009.0,Blaine,Nebraska,Blaine_Nebraska_UnitedStates
216,40011.0,Blaine,Oklahoma,Blaine_Oklahoma_UnitedStates
218,48031.0,Blanco,Texas,Blanco_Texas_UnitedStates
219,51021.0,Bland,Virginia,Bland_Virginia_UnitedStates
220,13023.0,Bleckley,Georgia,Bleckley_Georgia_UnitedStates
221,47007.0,Bledsoe,Tennessee,Bledsoe_Tennessee_UnitedStates
226,28011.0,Bolivar,Mississippi,Bolivar_Mississippi_UnitedStates
228,46009.0,BonHomme,SouthDakota,BonHomme_SouthDakota_UnitedStates
232,5009.0,Boone,Arkansas,Boone_Arkansas_UnitedStates
238,31011.0,Boone,Nebraska,Boone_Nebraska_UnitedStates
240,48033.0,Borden,Texas,Borden_Texas_UnitedStates
241,48035.0,Bosque,Texas,Bosque_Texas_UnitedStates
244,38009.0,Bottineau,NorthDakota,Bottineau_NorthDakota_UnitedStates
246,16021.0,Boundary,Idaho,Boundary_Idaho_UnitedStates
247,20011.0,Bourbon,Kansas,Bourbon_Kansas_UnitedStates
250,38011.0,Bowman,NorthDakota,Bowman_NorthDakota_UnitedStates
251,31013.0,BoxButte,Nebraska,BoxButte_Nebraska_UnitedStates
255,31015.0,Boyd,Nebraska,Boyd_Nebraska_UnitedStates
256,21021.0,Boyle,Kentucky,Boyle_Kentucky_UnitedStates
258,12007.0,Bradford,Florida,Bradford_Florida_UnitedStates
260,5011.0,Bradley,Arkansas,Bradley_Arkansas_UnitedStates
264,54007.0,Braxton,WestVirginia,Braxton_WestVirginia_UnitedStates
267,21025.0,Breathitt,Kentucky,Breathitt_Kentucky_UnitedStates
268,21027.0,Breckinridge,Kentucky,Breckinridge_Kentucky_UnitedStates
271,48043.0,Brewster,Texas,Brewster_Texas_UnitedStates
272,48045.0,Briscoe,Texas,Briscoe_Texas_UnitedStates
273,2060.0,BristolBay,Alaska,BristolBay_Alaska_UnitedStates
277,30007.0,Broadwater,Montana,Broadwater_Montana_UnitedStates
280,46011.0,Brookings,SouthDakota,Brookings_SouthDakota_UnitedStates
282,48047.0,Brooks,Texas,Brooks_Texas_UnitedStates
286,17009.0,Brown,Illinois,Brown_Illinois_UnitedStates
288,20013.0,Brown,Kansas,Brown_Kansas_UnitedStates
290,31017.0,Brown,Nebraska,Brown_Nebraska_UnitedStates
292,46013.0,Brown,SouthDakota,Brown_SouthDakota_UnitedStates
293,48049.0,Brown,Texas,Brown_Texas_UnitedStates
295,46015.0,Brule,SouthDakota,Brule_SouthDakota_UnitedStates
297,51025.0,Brunswick,Virginia,Brunswick_Virginia_UnitedStates
300,19019.0,Buchanan,Iowa,Buchanan_Iowa_UnitedStates
302,51027.0,Buchanan,Virginia,Buchanan_Virginia_UnitedStates
305,19021.0,BuenaVista,Iowa,BuenaVista_Iowa_UnitedStates
306,51530.0,BuenaVista,Virginia,BuenaVista_Virginia_UnitedStates
308,46017.0,Buffalo,SouthDakota,Buffalo_SouthDakota_UnitedStates
309,55011.0,Buffalo,Wisconsin,Buffalo_Wisconsin_UnitedStates
312,1011.0,Bullock,Alabama,Bullock_Alabama_UnitedStates
314,17011.0,Bureau,Illinois,Bureau_Illinois_UnitedStates
317,38013.0,Burke,NorthDakota,Burke_NorthDakota_UnitedStates
321,48053.0,Burnet,Texas,Burnet_Texas_UnitedStates
322,55013.0,Burnett,Wisconsin,Burnett_Wisconsin_UnitedStates
323,31021.0,Burt,Nebraska,Burt_Nebraska_UnitedStates
324,1013.0,Butler,Alabama,Butler_Alabama_UnitedStates
325,19023.0,Butler,Iowa,Butler_Iowa_UnitedStates
328,29023.0,Butler,Missouri,Butler_Missouri_UnitedStates
329,31023.0,Butler,Nebraska,Butler_Nebraska_UnitedStates
333,16023.0,Butte,Idaho,Butte_Idaho_UnitedStates
334,46019.0,Butte,SouthDakota,Butte_SouthDakota_UnitedStates
340,40015.0,Caddo,Oklahoma,Caddo_Oklahoma_UnitedStates
341,6009.0,Calaveras,California,Calaveras_California_UnitedStates
343,21033.0,Caldwell,Kentucky,Caldwell_Kentucky_UnitedStates
344,22021.0,Caldwell,Louisiana,Caldwell_Louisiana_UnitedStates
348,50005.0,Caledonia,Vermont,Caledonia_Vermont_UnitedStates
350,5013.0,Calhoun,Arkansas,Calhoun_Arkansas_UnitedStates
351,12013.0,Calhoun,Florida,Calhoun_Florida_UnitedStates
352,13037.0,Calhoun,Georgia,Calhoun_Georgia_UnitedStates
354,19025.0,Calhoun,Iowa,Calhoun_Iowa_UnitedStates
356,28013.0,Calhoun,Mississippi,Calhoun_Mississippi_UnitedStates
359,54013.0,Calhoun,WestVirginia,Calhoun_WestVirginia_UnitedStates
362,21035.0,Calloway,Kentucky,Calloway_Kentucky_UnitedStates
365,16025.0,Camas,Idaho,Camas_Idaho_UnitedStates
368,29029.0,Camden,Missouri,Camden_Missouri_UnitedStates
372,42023.0,Cameron,Pennsylvania,Cameron_Pennsylvania_UnitedStates
374,48063.0,Camp,Texas,Camp_Texas_UnitedStates
376,46021.0,Campbell,SouthDakota,Campbell_SouthDakota_UnitedStates
379,56005.0,Campbell,Wyoming,Campbell_Wyoming_UnitedStates
381,13043.0,Candler,Georgia,Candler_Georgia_UnitedStates
389,49007.0,Carbon,Utah,Carbon_Utah_UnitedStates
390,56007.0,Carbon,Wyoming,Carbon_Wyoming_UnitedStates
391,16029.0,Caribou,Idaho,Caribou_Idaho_UnitedStates
392,21039.0,Carlisle,Kentucky,Carlisle_Kentucky_UnitedStates
394,24011.0,Caroline,Maryland,Caroline_Maryland_UnitedStates
396,5015.0,Carroll,Arkansas,Carroll_Arkansas_UnitedStates
398,17015.0,Carroll,Illinois,Carroll_Illinois_UnitedStates
400,19027.0,Carroll,Iowa,Carroll_Iowa_UnitedStates
401,21041.0,Carroll,Kentucky,Carroll_Kentucky_UnitedStates
403,28015.0,Carroll,Mississippi,Carroll_Mississippi_UnitedStates
404,29033.0,Carroll,Missouri,Carroll_Missouri_UnitedStates
405,33003.0,Carroll,NewHampshire,Carroll_NewHampshire_UnitedStates
407,47017.0,Carroll,Tennessee,Carroll_Tennessee_UnitedStates
408,51035.0,Carroll,Virginia,Carroll_Virginia_UnitedStates
411,21043.0,Carter,Kentucky,Carter_Kentucky_UnitedStates
412,29035.0,Carter,Missouri,Carter_Missouri_UnitedStates
413,30011.0,Carter,Montana,Carter_Montana_UnitedStates
414,40019.0,Carter,Oklahoma,Carter_Oklahoma_UnitedStates
419,21045.0,Casey,Kentucky,Casey_Kentucky_UnitedStates
420,17017.0,Cass,Illinois,Cass_Illinois_UnitedStates
422,19029.0,Cass,Iowa,Cass_Iowa_UnitedStates
424,27021.0,Cass,Minnesota,Cass_Minnesota_UnitedStates
428,48067.0,Cass,Texas,Cass_Texas_UnitedStates
429,16031.0,Cassia,Idaho,Cassia_Idaho_UnitedStates
430,48069.0,Castro,Texas,Castro_Texas_UnitedStates
431,37033.0,Caswell,NorthCarolina,Caswell_NorthCarolina_UnitedStates
432,22025.0,Catahoula,Louisiana,Catahoula_Louisiana_UnitedStates
435,35003.0,Catron,NewMexico,Catron_NewMexico_UnitedStates
437,38019.0,Cavalier,NorthDakota,Cavalier_NorthDakota_UnitedStates
440,19031.0,Cedar,Iowa,Cedar_Iowa_UnitedStates
441,29039.0,Cedar,Missouri,Cedar_Missouri_UnitedStates
442,31027.0,Cedar,Nebraska,Cedar_Nebraska_UnitedStates
444,19033.0,CerroGordo,Iowa,CerroGordo_Iowa_UnitedStates
445,8015.0,Chaffee,Colorado,Chaffee_Colorado_UnitedStates
450,29041.0,Chariton,Missouri,Chariton_Missouri_UnitedStates
452,46023.0,CharlesMix,SouthDakota,CharlesMix_SouthDakota_UnitedStates
455,26029.0,Charlevoix,Michigan,Charlevoix_Michigan_UnitedStates
457,51037.0,Charlotte,Virginia,Charlotte_Virginia_UnitedStates
459,13049.0,Charlton,Georgia,Charlton_Georgia_UnitedStates
460,20017.0,Chase,Kansas,Chase_Kansas_UnitedStates
461,31029.0,Chase,Nebraska,Chase_Nebraska_UnitedStates
464,13053.0,Chattahoochee,Georgia,Chattahoochee_Georgia_UnitedStates
466,20019.0,Chautauqua,Kansas,Chautauqua_Kansas_UnitedStates
468,35005.0,Chaves,NewMexico,Chaves_NewMexico_UnitedStates
470,26031.0,Cheboygan,Michigan,Cheboygan_Michigan_UnitedStates
473,36017.0,Chenango,NewYork,Chenango_NewYork_UnitedStates
474,1019.0,Cherokee,Alabama,Cherokee_Alabama_UnitedStates
476,19035.0,Cherokee,Iowa,Cherokee_Iowa_UnitedStates
477,20021.0,Cherokee,Kansas,Cherokee_Kansas_UnitedStates
478,37039.0,Cherokee,NorthCarolina,Cherokee_NorthCarolina_UnitedStates
482,31031.0,Cherry,Nebraska,Cherry_Nebraska_UnitedStates
488,45025.0,Chesterfield,SouthCarolina,Chesterfield_SouthCarolina_UnitedStates
490,8017.0,Cheyenne,Colorado,Cheyenne_Colorado_UnitedStates
491,20023.0,Cheyenne,Kansas,Cheyenne_Kansas_UnitedStates
492,31033.0,Cheyenne,Nebraska,Cheyenne_Nebraska_UnitedStates
493,19037.0,Chickasaw,Iowa,Chickasaw_Iowa_UnitedStates
494,28017.0,Chickasaw,Mississippi,Chickasaw_Mississippi_UnitedStates
495,5017.0,Chicot,Arkansas,Chicot_Arkansas_UnitedStates
496,48075.0,Childress,Texas,Childress_Texas_UnitedStates
498,26033.0,Chippewa,Michigan,Chippewa_Michigan_UnitedStates
499,27023.0,Chippewa,Minnesota,Chippewa_Minnesota_UnitedStates
503,1023.0,Choctaw,Alabama,Choctaw_Alabama_UnitedStates
504,28019.0,Choctaw,Mississippi,Choctaw_Mississippi_UnitedStates
505,40023.0,Choctaw,Oklahoma,Choctaw_Oklahoma_UnitedStates
506,30015.0,Chouteau,Montana,Chouteau_Montana_UnitedStates
507,37041.0,Chowan,NorthCarolina,Chowan_NorthCarolina_UnitedStates
513,40025.0,Cimarron,Oklahoma,Cimarron_Oklahoma_UnitedStates
516,22027.0,Claiborne,Louisiana,Claiborne_Louisiana_UnitedStates
517,28021.0,Claiborne,Mississippi,Claiborne_Mississippi_UnitedStates
518,47025.0,Claiborne,Tennessee,Claiborne_Tennessee_UnitedStates
519,53009.0,Clallam,Washington,Clallam_Washington_UnitedStates
520,26035.0,Clare,Michigan,Clare_Michigan_UnitedStates
521,45027.0,Clarendon,SouthCarolina,Clarendon_SouthCarolina_UnitedStates
522,42031.0,Clarion,Pennsylvania,Clarion_Pennsylvania_UnitedStates
523,5019.0,Clark,Arkansas,Clark_Arkansas_UnitedStates
524,16033.0,Clark,Idaho,Clark_Idaho_UnitedStates
525,17023.0,Clark,Illinois,Clark_Illinois_UnitedStates
527,20025.0,Clark,Kansas,Clark_Kansas_UnitedStates
529,29045.0,Clark,Missouri,Clark_Missouri_UnitedStates
532,46025.0,Clark,SouthDakota,Clark_SouthDakota_UnitedStates
534,55019.0,Clark,Wisconsin,Clark_Wisconsin_UnitedStates
535,1025.0,Clarke,Alabama,Clarke_Alabama_UnitedStates
537,19039.0,Clarke,Iowa,Clarke_Iowa_UnitedStates
538,28023.0,Clarke,Mississippi,Clarke_Mississippi_UnitedStates
541,1027.0,Clay,Alabama,Clay_Alabama_UnitedStates
542,5021.0,Clay,Arkansas,Clay_Arkansas_UnitedStates
544,13061.0,Clay,Georgia,Clay_Georgia_UnitedStates
545,17025.0,Clay,Illinois,Clay_Illinois_UnitedStates
547,19041.0,Clay,Iowa,Clay_Iowa_UnitedStates
548,20027.0,Clay,Kansas,Clay_Kansas_UnitedStates
549,21051.0,Clay,Kentucky,Clay_Kentucky_UnitedStates
551,28025.0,Clay,Mississippi,Clay_Mississippi_UnitedStates
553,31035.0,Clay,Nebraska,Clay_Nebraska_UnitedStates
554,37043.0,Clay,NorthCarolina,Clay_NorthCarolina_UnitedStates
556,47027.0,Clay,Tennessee,Clay_Tennessee_UnitedStates
560,19043.0,Clayton,Iowa,Clayton_Iowa_UnitedStates
563,16035.0,Clearwater,Idaho,Clearwater_Idaho_UnitedStates
564,27029.0,Clearwater,Minnesota,Clearwater_Minnesota_UnitedStates
565,1029.0,Cleburne,Alabama,Cleburne_Alabama_UnitedStates
566,5023.0,Cleburne,Arkansas,Cleburne_Arkansas_UnitedStates
571,13065.0,Clinch,Georgia,Clinch_Georgia_UnitedStates
575,21053.0,Clinton,Kentucky,Clinton_Kentucky_UnitedStates
578,36019.0,Clinton,NewYork,Clinton_NewYork_UnitedStates
581,20029.0,Cloud,Kansas,Cloud_Kansas_UnitedStates
582,28027.0,Coahoma,Mississippi,Coahoma_Mississippi_UnitedStates
583,40029.0,Coal,Oklahoma,Coal_Oklahoma_UnitedStates
586,48079.0,Cochran,Texas,Cochran_Texas_UnitedStates
589,46029.0,Codington,SouthDakota,Codington_SouthDakota_UnitedStates
591,13069.0,Coffee,Georgia,Coffee_Georgia_UnitedStates
593,20031.0,Coffey,Kansas,Coffey_Kansas_UnitedStates
594,48081.0,Coke,Texas,Coke_Texas_UnitedStates
597,48083.0,Coleman,Texas,Coleman_Texas_UnitedStates
598,17029.0,Coles,Illinois,Coles_Illinois_UnitedStates
599,31037.0,Colfax,Nebraska,Colfax_Nebraska_UnitedStates
600,35007.0,Colfax,NewMexico,Colfax_NewMexico_UnitedStates
601,45029.0,Colleton,SouthCarolina,Colleton_SouthCarolina_UnitedStates
604,48087.0,Collingsworth,Texas,Collingsworth_Texas_UnitedStates
606,48089.0,Colorado,Texas,Colorado_Texas_UnitedStates
608,5027.0,Columbia,Arkansas,Columbia_Arkansas_UnitedStates
617,37047.0,Columbus,NorthCarolina,Columbus_NorthCarolina_UnitedStates
618,6011.0,Colusa,California,Colusa_California_UnitedStates
620,20033.0,Comanche,Kansas,Comanche_Kansas_UnitedStates
622,48093.0,Comanche,Texas,Comanche_Texas_UnitedStates
623,48095.0,Concho,Texas,Concho_Texas_UnitedStates
624,22029.0,Concordia,Louisiana,Concordia_Louisiana_UnitedStates
625,1035.0,Conecuh,Alabama,Conecuh_Alabama_UnitedStates
626,8021.0,Conejos,Colorado,Conejos_Colorado_UnitedStates
628,56009.0,Converse,Wyoming,Converse_Wyoming_UnitedStates
629,5029.0,Conway,Arkansas,Conway_Arkansas_UnitedStates
630,13075.0,Cook,Georgia,Cook_Georgia_UnitedStates
632,27031.0,Cook,Minnesota,Cook_Minnesota_UnitedStates
634,29053.0,Cooper,Missouri,Cooper_Missouri_UnitedStates
635,33007.0,Coos,NewHampshire,Coos_NewHampshire_UnitedStates
636,41011.0,Coos,Oregon,Coos_Oregon_UnitedStates
639,46031.0,Corson,SouthDakota,Corson_SouthDakota_UnitedStates
643,8023.0,Costilla,Colorado,Costilla_Colorado_UnitedStates
644,48101.0,Cottle,Texas,Cottle_Texas_UnitedStates
646,27033.0,Cottonwood,Minnesota,Cottonwood_Minnesota_UnitedStates
647,1039.0,Covington,Alabama,Covington_Alabama_UnitedStates
648,28031.0,Covington,Mississippi,Covington_Mississippi_UnitedStates
